"Tabela 6773 - Número de estabelecimentos agropecuários e Área dos estabelecimentos agropecuários, por tipologia, condição legal do produtor, residência da pessoa que dirige o estabelecimento, finalidade principal da produção agropecuária do estabelecimento, renda obtida com as atividades desenvolvidas no estabelecimento e associação do produtor à cooperativa e/ou à entidade de classe - Ranking ascendente"
"Variável - Número de estabelecimentos agropecuários (Unidades)"
"Cód.";"Brasil e Município";"Finalidade principal da produção agropecuária do estabelecimento";"Renda obtida com as atividades desenvolvidas no estabelecimento";"#";"Associação do produtor à cooperativa e/ou à entidade de classe";"Ano x Tipologia x Condição legal do produtor x Residência da pessoa que dirige o estabelecimento"
"1101476";"Primavera de Rondônia (RO)";"Total";"Total";"1";"Total";"401"
"1101484";"São Felipe D'Oeste (RO)";"Total";"Total";"1";"Total";"797"
"1101492";"São Francisco do Guaporé (RO)";"Total";"Total";"1";"Total";"1950"
"1101500";"Seringueiras (RO)";"Total";"Total";"1";"Total";"1677"
"1101559";"Teixeirópolis (RO)";"Total";"Total";"1";"Total";"738"
"1101609";"Theobroma (RO)";"Total";"Total";"1";"Total";"2160"
"1101708";"Urupá (RO)";"Total";"Total";"1";"Total";"1623"
"1101757";"Vale do Anari (RO)";"Total";"Total";"1";"Total";"1707"
"1101807";"Vale do Paraíso (RO)";"Total";"Total";"1";"Total";"942"
"1200013";"Acrelândia (AC)";"Total";"Total";"1";"Total";"1462"
"1200054";"Assis Brasil (AC)";"Total";"Total";"1";"Total";"523"
"1200104";"Brasiléia (AC)";"Total";"Total";"1";"Total";"2100"
"1200138";"Bujari (AC)";"Total";"Total";"1";"Total";"1404"
"1200179";"Capixaba (AC)";"Total";"Total";"1";"Total";"1289"
"1200203";"Cruzeiro do Sul (AC)";"Total";"Total";"1";"Total";"3264"
"1200252";"Epitaciolândia (AC)";"Total";"Total";"1";"Total";"1454"
"1200302";"Feijó (AC)";"Total";"Total";"1";"Total";"2968"
"1200328";"Jordão (AC)";"Total";"Total";"1";"Total";"484"
"1200336";"Mâncio Lima (AC)";"Total";"Total";"1";"Total";"1088"
"1200344";"Manoel Urbano (AC)";"Total";"Total";"1";"Total";"645"
"1200351";"Marechal Thaumaturgo (AC)";"Total";"Total";"1";"Total";"1677"
"1200385";"Plácido de Castro (AC)";"Total";"Total";"1";"Total";"1346"
"1200393";"Porto Walter (AC)";"Total";"Total";"1";"Total";"1116"
"1200401";"Rio Branco (AC)";"Total";"Total";"1";"Total";"4106"
"1200427";"Rodrigues Alves (AC)";"Total";"Total";"1";"Total";"1292"
"1200435";"Santa Rosa do Purus (AC)";"Total";"Total";"1";"Total";"632"
"1200450";"Senador Guiomard (AC)";"Total";"Total";"1";"Total";"1454"
"1200500";"Sena Madureira (AC)";"Total";"Total";"1";"Total";"2682"
"1200609";"Tarauacá (AC)";"Total";"Total";"1";"Total";"2904"
"1200708";"Xapuri (AC)";"Total";"Total";"1";"Total";"1887"
"1200807";"Porto Acre (AC)";"Total";"Total";"1";"Total";"1579"
"1300029";"Alvarães (AM)";"Total";"Total";"1";"Total";"1002"
"1300060";"Amaturá (AM)";"Total";"Total";"1";"Total";"538"
"1300086";"Anamã (AM)";"Total";"Total";"1";"Total";"622"
"1300102";"Anori (AM)";"Total";"Total";"1";"Total";"749"
"1300144";"Apuí (AM)";"Total";"Total";"1";"Total";"1091"
"1300201";"Atalaia do Norte (AM)";"Total";"Total";"1";"Total";"1252"
"1300300";"Autazes (AM)";"Total";"Total";"1";"Total";"2583"
"1300409";"Barcelos (AM)";"Total";"Total";"1";"Total";"932"
"1300508";"Barreirinha (AM)";"Total";"Total";"1";"Total";"1579"
"1300607";"Benjamin Constant (AM)";"Total";"Total";"1";"Total";"1210"
"1300631";"Beruri (AM)";"Total";"Total";"1";"Total";"1017"
"1300680";"Boa Vista do Ramos (AM)";"Total";"Total";"1";"Total";"1119"
"1300706";"Boca do Acre (AM)";"Total";"Total";"1";"Total";"3373"
"1300805";"Borba (AM)";"Total";"Total";"1";"Total";"1732"
"1300839";"Caapiranga (AM)";"Total";"Total";"1";"Total";"213"
"1300904";"Canutama (AM)";"Total";"Total";"1";"Total";"1029"
"1301001";"Carauari (AM)";"Total";"Total";"1";"Total";"1505"
"1301100";"Careiro (AM)";"Total";"Total";"1";"Total";"2291"
"1301159";"Careiro da Várzea (AM)";"Total";"Total";"1";"Total";"1842"
"1301209";"Coari (AM)";"Total";"Total";"1";"Total";"2173"
"1301308";"Codajás (AM)";"Total";"Total";"1";"Total";"1130"
"1301407";"Eirunepé (AM)";"Total";"Total";"1";"Total";"1052"
"1301506";"Envira (AM)";"Total";"Total";"1";"Total";"1028"
"1301605";"Fonte Boa (AM)";"Total";"Total";"1";"Total";"881"
"1301654";"Guajará (AM)";"Total";"Total";"1";"Total";"948"
"1301704";"Humaitá (AM)";"Total";"Total";"1";"Total";"768"
"1301803";"Ipixuna (AM)";"Total";"Total";"1";"Total";"1099"
"1301852";"Iranduba (AM)";"Total";"Total";"1";"Total";"1399"
"1301902";"Itacoatiara (AM)";"Total";"Total";"1";"Total";"2442"
"1301951";"Itamarati (AM)";"Total";"Total";"1";"Total";"913"
"1302009";"Itapiranga (AM)";"Total";"Total";"1";"Total";"226"
"1302108";"Japurá (AM)";"Total";"Total";"1";"Total";"302"
"1302207";"Juruá (AM)";"Total";"Total";"1";"Total";"836"
"1302306";"Jutaí (AM)";"Total";"Total";"1";"Total";"1100"
"1302405";"Lábrea (AM)";"Total";"Total";"1";"Total";"2461"
"1302504";"Manacapuru (AM)";"Total";"Total";"1";"Total";"2357"
"1302553";"Manaquiri (AM)";"Total";"Total";"1";"Total";"1281"
"1302603";"Manaus (AM)";"Total";"Total";"1";"Total";"1943"
"1302702";"Manicoré (AM)";"Total";"Total";"1";"Total";"2650"
"1302801";"Maraã (AM)";"Total";"Total";"1";"Total";"725"
"1302900";"Maués (AM)";"Total";"Total";"1";"Total";"1779"
"1303007";"Nhamundá (AM)";"Total";"Total";"1";"Total";"1316"
"1303106";"Nova Olinda do Norte (AM)";"Total";"Total";"1";"Total";"1392"
"1303205";"Novo Airão (AM)";"Total";"Total";"1";"Total";"241"
"1303304";"Novo Aripuanã (AM)";"Total";"Total";"1";"Total";"1006"
"1303403";"Parintins (AM)";"Total";"Total";"1";"Total";"2742"
"1303502";"Pauini (AM)";"Total";"Total";"1";"Total";"1410"
"1303536";"Presidente Figueiredo (AM)";"Total";"Total";"1";"Total";"1769"
"1303569";"Rio Preto da Eva (AM)";"Total";"Total";"1";"Total";"1004"
"1303601";"Santa Isabel do Rio Negro (AM)";"Total";"Total";"1";"Total";"1149"
"1303700";"Santo Antônio do Içá (AM)";"Total";"Total";"1";"Total";"754"
"1303809";"São Gabriel da Cachoeira (AM)";"Total";"Total";"1";"Total";"3928"
"1303908";"São Paulo de Olivença (AM)";"Total";"Total";"1";"Total";"1052"
"1303957";"São Sebastião do Uatumã (AM)";"Total";"Total";"1";"Total";"408"
"1304005";"Silves (AM)";"Total";"Total";"1";"Total";"502"
"1304062";"Tabatinga (AM)";"Total";"Total";"1";"Total";"1889"
"1304104";"Tapauá (AM)";"Total";"Total";"1";"Total";"1089"
"1304203";"Tefé (AM)";"Total";"Total";"1";"Total";"1826"
"1304237";"Tonantins (AM)";"Total";"Total";"1";"Total";"367"
"1304260";"Uarini (AM)";"Total";"Total";"1";"Total";"803"
"1304302";"Urucará (AM)";"Total";"Total";"1";"Total";"609"
"1304401";"Urucurituba (AM)";"Total";"Total";"1";"Total";"531"
"1400027";"Amajari (RR)";"Total";"Total";"1";"Total";"1412"
"1400050";"Alto Alegre (RR)";"Total";"Total";"1";"Total";"1364"
"1400100";"Boa Vista (RR)";"Total";"Total";"1";"Total";"1295"
"1400159";"Bonfim (RR)";"Total";"Total";"1";"Total";"989"
"1400175";"Cantá (RR)";"Total";"Total";"1";"Total";"2309"
"1400209";"Caracaraí (RR)";"Total";"Total";"1";"Total";"1199"
"1400233";"Caroebe (RR)";"Total";"Total";"1";"Total";"941"
"1400282";"Iracema (RR)";"Total";"Total";"1";"Total";"701"
"1400308";"Mucajaí (RR)";"Total";"Total";"1";"Total";"1045"
"1400407";"Normandia (RR)";"Total";"Total";"1";"Total";"982"
"1400456";"Pacaraima (RR)";"Total";"Total";"1";"Total";"353"
"1400472";"Rorainópolis (RR)";"Total";"Total";"1";"Total";"1919"
"1400506";"São João da Baliza (RR)";"Total";"Total";"1";"Total";"514"
"1400605";"São Luiz (RR)";"Total";"Total";"1";"Total";"481"
"1400704";"Uiramutã (RR)";"Total";"Total";"1";"Total";"1342"
"1500107";"Abaetetuba (PA)";"Total";"Total";"1";"Total";"9410"
"1500131";"Abel Figueiredo (PA)";"Total";"Total";"1";"Total";"186"
"1500206";"Acará (PA)";"Total";"Total";"1";"Total";"6373"
"1500305";"Afuá (PA)";"Total";"Total";"1";"Total";"4296"
"1500347";"Água Azul do Norte (PA)";"Total";"Total";"1";"Total";"1614"
"1500404";"Alenquer (PA)";"Total";"Total";"1";"Total";"4940"
"1500503";"Almeirim (PA)";"Total";"Total";"1";"Total";"1093"
"1500602";"Altamira (PA)";"Total";"Total";"1";"Total";"3896"
"1500701";"Anajás (PA)";"Total";"Total";"1";"Total";"1666"
"1500800";"Ananindeua (PA)";"Total";"Total";"1";"Total";"287"
"1500859";"Anapu (PA)";"Total";"Total";"1";"Total";"2403"
"1500909";"Augusto Corrêa (PA)";"Total";"Total";"1";"Total";"3531"
"1500958";"Aurora do Pará (PA)";"Total";"Total";"1";"Total";"2364"
"1501006";"Aveiro (PA)";"Total";"Total";"1";"Total";"1151"
"1501105";"Bagre (PA)";"Total";"Total";"1";"Total";"1468"
"1501204";"Baião (PA)";"Total";"Total";"1";"Total";"2820"
"1501253";"Bannach (PA)";"Total";"Total";"1";"Total";"491"
"1501303";"Barcarena (PA)";"Total";"Total";"1";"Total";"3120"
"1501402";"Belém (PA)";"Total";"Total";"1";"Total";"601"
"1501451";"Belterra (PA)";"Total";"Total";"1";"Total";"506"
"1501501";"Benevides (PA)";"Total";"Total";"1";"Total";"211"
"1501576";"Bom Jesus do Tocantins (PA)";"Total";"Total";"1";"Total";"1294"
"1501600";"Bonito (PA)";"Total";"Total";"1";"Total";"1086"
"1501709";"Bragança (PA)";"Total";"Total";"1";"Total";"4538"
"1501725";"Brasil Novo (PA)";"Total";"Total";"1";"Total";"1855"
"1501758";"Brejo Grande do Araguaia (PA)";"Total";"Total";"1";"Total";"608"
"1501782";"Breu Branco (PA)";"Total";"Total";"1";"Total";"2490"
"1501808";"Breves (PA)";"Total";"Total";"1";"Total";"5082"
"1501907";"Bujaru (PA)";"Total";"Total";"1";"Total";"2955"
"1501956";"Cachoeira do Piriá (PA)";"Total";"Total";"1";"Total";"2028"
"1502004";"Cachoeira do Arari (PA)";"Total";"Total";"1";"Total";"816"
"1502103";"Cametá (PA)";"Total";"Total";"1";"Total";"12889"
"1502152";"Canaã dos Carajás (PA)";"Total";"Total";"1";"Total";"1148"
"1502202";"Capanema (PA)";"Total";"Total";"1";"Total";"920"
"1502301";"Capitão Poço (PA)";"Total";"Total";"1";"Total";"2418"
"1502400";"Castanhal (PA)";"Total";"Total";"1";"Total";"1117"
"1502509";"Chaves (PA)";"Total";"Total";"1";"Total";"1722"
"1502608";"Colares (PA)";"Total";"Total";"1";"Total";"465"
"1502707";"Conceição do Araguaia (PA)";"Total";"Total";"1";"Total";"3388"
"1502756";"Concórdia do Pará (PA)";"Total";"Total";"1";"Total";"1183"
"1502764";"Cumaru do Norte (PA)";"Total";"Total";"1";"Total";"787"
"1502772";"Curionópolis (PA)";"Total";"Total";"1";"Total";"312"
"1502806";"Curralinho (PA)";"Total";"Total";"1";"Total";"2941"
"1502855";"Curuá (PA)";"Total";"Total";"1";"Total";"495"
"1502905";"Curuçá (PA)";"Total";"Total";"1";"Total";"567"
"1502939";"Dom Eliseu (PA)";"Total";"Total";"1";"Total";"567"
"1502954";"Eldorado do Carajás (PA)";"Total";"Total";"1";"Total";"2600"
"1503002";"Faro (PA)";"Total";"Total";"1";"Total";"103"
"1503044";"Floresta do Araguaia (PA)";"Total";"Total";"1";"Total";"1276"
"1503077";"Garrafão do Norte (PA)";"Total";"Total";"1";"Total";"2211"
"1503093";"Goianésia do Pará (PA)";"Total";"Total";"1";"Total";"1357"
"1503101";"Gurupá (PA)";"Total";"Total";"1";"Total";"1346"
"1503200";"Igarapé-Açu (PA)";"Total";"Total";"1";"Total";"2126"
"1503309";"Igarapé-Miri (PA)";"Total";"Total";"1";"Total";"3863"
"1503408";"Inhangapi (PA)";"Total";"Total";"1";"Total";"534"
"1503457";"Ipixuna do Pará (PA)";"Total";"Total";"1";"Total";"2151"
"1503507";"Irituia (PA)";"Total";"Total";"1";"Total";"2356"
"1503606";"Itaituba (PA)";"Total";"Total";"1";"Total";"1597"
"1503705";"Itupiranga (PA)";"Total";"Total";"1";"Total";"3318"
"1503754";"Jacareacanga (PA)";"Total";"Total";"1";"Total";"434"
"1503804";"Jacundá (PA)";"Total";"Total";"1";"Total";"731"
"1503903";"Juruti (PA)";"Total";"Total";"1";"Total";"1486"
"1504000";"Limoeiro do Ajuru (PA)";"Total";"Total";"1";"Total";"3813"
"1504059";"Mãe do Rio (PA)";"Total";"Total";"1";"Total";"802"
"1504109";"Magalhães Barata (PA)";"Total";"Total";"1";"Total";"441"
"1504208";"Marabá (PA)";"Total";"Total";"1";"Total";"5305"
"1504307";"Maracanã (PA)";"Total";"Total";"1";"Total";"1756"
"1504406";"Marapanim (PA)";"Total";"Total";"1";"Total";"911"
"1504422";"Marituba (PA)";"Total";"Total";"1";"Total";"51"
"1504455";"Medicilândia (PA)";"Total";"Total";"1";"Total";"3457"
"1504505";"Melgaço (PA)";"Total";"Total";"1";"Total";"1759"
"1504604";"Mocajuba (PA)";"Total";"Total";"1";"Total";"1480"
"1504703";"Moju (PA)";"Total";"Total";"1";"Total";"5831"
"1504752";"Mojuí dos Campos (PA)";"Total";"Total";"1";"Total";"1575"
"1504802";"Monte Alegre (PA)";"Total";"Total";"1";"Total";"4225"
"1504901";"Muaná (PA)";"Total";"Total";"1";"Total";"2484"
"1504950";"Nova Esperança do Piriá (PA)";"Total";"Total";"1";"Total";"1378"
"1504976";"Nova Ipixuna (PA)";"Total";"Total";"1";"Total";"1428"
"1505007";"Nova Timboteua (PA)";"Total";"Total";"1";"Total";"906"
"1505031";"Novo Progresso (PA)";"Total";"Total";"1";"Total";"1318"
"1505064";"Novo Repartimento (PA)";"Total";"Total";"1";"Total";"5424"
"1505106";"Óbidos (PA)";"Total";"Total";"1";"Total";"2780"
"1505205";"Oeiras do Pará (PA)";"Total";"Total";"1";"Total";"3725"
"1505304";"Oriximiná (PA)";"Total";"Total";"1";"Total";"2440"
"1505403";"Ourém (PA)";"Total";"Total";"1";"Total";"1159"
"1505437";"Ourilândia do Norte (PA)";"Total";"Total";"1";"Total";"1207"
"1505486";"Pacajá (PA)";"Total";"Total";"1";"Total";"4422"
"1505494";"Palestina do Pará (PA)";"Total";"Total";"1";"Total";"433"
"1505502";"Paragominas (PA)";"Total";"Total";"1";"Total";"1446"
"1505536";"Parauapebas (PA)";"Total";"Total";"1";"Total";"1297"
"1505551";"Pau D'Arco (PA)";"Total";"Total";"1";"Total";"570"
"1505601";"Peixe-Boi (PA)";"Total";"Total";"1";"Total";"718"
"1505635";"Piçarra (PA)";"Total";"Total";"1";"Total";"1334"
"1505650";"Placas (PA)";"Total";"Total";"1";"Total";"2722"
"1505700";"Ponta de Pedras (PA)";"Total";"Total";"1";"Total";"2841"
"1505809";"Portel (PA)";"Total";"Total";"1";"Total";"2348"
"1505908";"Porto de Moz (PA)";"Total";"Total";"1";"Total";"1584"
"1506005";"Prainha (PA)";"Total";"Total";"1";"Total";"1211"
"1506104";"Primavera (PA)";"Total";"Total";"1";"Total";"388"
"1506112";"Quatipuru (PA)";"Total";"Total";"1";"Total";"151"
"1506138";"Redenção (PA)";"Total";"Total";"1";"Total";"986"
"1506161";"Rio Maria (PA)";"Total";"Total";"1";"Total";"1064"
"1506187";"Rondon do Pará (PA)";"Total";"Total";"1";"Total";"1850"
"1506195";"Rurópolis (PA)";"Total";"Total";"1";"Total";"2660"
"1506203";"Salinópolis (PA)";"Total";"Total";"1";"Total";"210"
"1506302";"Salvaterra (PA)";"Total";"Total";"1";"Total";"344"
"1506351";"Santa Bárbara do Pará (PA)";"Total";"Total";"1";"Total";"447"
"1506401";"Santa Cruz do Arari (PA)";"Total";"Total";"1";"Total";"175"
"1506500";"Santa Izabel do Pará (PA)";"Total";"Total";"1";"Total";"1213"
"1506559";"Santa Luzia do Pará (PA)";"Total";"Total";"1";"Total";"1131"
"1506583";"Santa Maria das Barreiras (PA)";"Total";"Total";"1";"Total";"2788"
"1506609";"Santa Maria do Pará (PA)";"Total";"Total";"1";"Total";"1217"
"1506708";"Santana do Araguaia (PA)";"Total";"Total";"1";"Total";"2051"
"1506807";"Santarém (PA)";"Total";"Total";"1";"Total";"7379"
"1506906";"Santarém Novo (PA)";"Total";"Total";"1";"Total";"233"
"1507003";"Santo Antônio do Tauá (PA)";"Total";"Total";"1";"Total";"883"
"1507102";"São Caetano de Odivelas (PA)";"Total";"Total";"1";"Total";"626"
"1507151";"São Domingos do Araguaia (PA)";"Total";"Total";"1";"Total";"1016"
"1507201";"São Domingos do Capim (PA)";"Total";"Total";"1";"Total";"3151"
"1507300";"São Félix do Xingu (PA)";"Total";"Total";"1";"Total";"6375"
"1507409";"São Francisco do Pará (PA)";"Total";"Total";"1";"Total";"686"
"1507458";"São Geraldo do Araguaia (PA)";"Total";"Total";"1";"Total";"1213"
"1507466";"São João da Ponta (PA)";"Total";"Total";"1";"Total";"181"
"1507474";"São João de Pirabas (PA)";"Total";"Total";"1";"Total";"521"
"1507508";"São João do Araguaia (PA)";"Total";"Total";"1";"Total";"1220"
"1507607";"São Miguel do Guamá (PA)";"Total";"Total";"1";"Total";"2250"
"1507706";"São Sebastião da Boa Vista (PA)";"Total";"Total";"1";"Total";"2382"
"1507755";"Sapucaia (PA)";"Total";"Total";"1";"Total";"236"
"1507805";"Senador José Porfírio (PA)";"Total";"Total";"1";"Total";"2224"
"1507904";"Soure (PA)";"Total";"Total";"1";"Total";"120"
"1507953";"Tailândia (PA)";"Total";"Total";"1";"Total";"939"
"1507961";"Terra Alta (PA)";"Total";"Total";"1";"Total";"104"
"1507979";"Terra Santa (PA)";"Total";"Total";"1";"Total";"572"
"1508001";"Tomé-Açu (PA)";"Total";"Total";"1";"Total";"3050"
"1508035";"Tracuateua (PA)";"Total";"Total";"1";"Total";"3072"
"1508050";"Trairão (PA)";"Total";"Total";"1";"Total";"726"
"1508084";"Tucumã (PA)";"Total";"Total";"1";"Total";"1869"
"1508100";"Tucuruí (PA)";"Total";"Total";"1";"Total";"1410"
"1508126";"Ulianópolis (PA)";"Total";"Total";"1";"Total";"1246"
"1508159";"Uruará (PA)";"Total";"Total";"1";"Total";"3993"
"1508209";"Vigia (PA)";"Total";"Total";"1";"Total";"945"
"1508308";"Viseu (PA)";"Total";"Total";"1";"Total";"4241"
"1508357";"Vitória do Xingu (PA)";"Total";"Total";"1";"Total";"1075"
"1508407";"Xinguara (PA)";"Total";"Total";"1";"Total";"918"
"1600055";"Serra do Navio (AP)";"Total";"Total";"1";"Total";"114"
"1600105";"Amapá (AP)";"Total";"Total";"1";"Total";"223"
"1600154";"Pedra Branca do Amapari (AP)";"Total";"Total";"1";"Total";"594"
"1600204";"Calçoene (AP)";"Total";"Total";"1";"Total";"213"
"1600212";"Cutias (AP)";"Total";"Total";"1";"Total";"182"
"1600238";"Ferreira Gomes (AP)";"Total";"Total";"1";"Total";"226"
"1600253";"Itaubal (AP)";"Total";"Total";"1";"Total";"215"
"1600279";"Laranjal do Jari (AP)";"Total";"Total";"1";"Total";"427"
"1600303";"Macapá (AP)";"Total";"Total";"1";"Total";"1828"
"1600402";"Mazagão (AP)";"Total";"Total";"1";"Total";"1169"
"1600501";"Oiapoque (AP)";"Total";"Total";"1";"Total";"1136"
"1600535";"Porto Grande (AP)";"Total";"Total";"1";"Total";"739"
"1600550";"Pracuúba (AP)";"Total";"Total";"1";"Total";"145"
"1600600";"Santana (AP)";"Total";"Total";"1";"Total";"705"
"1600709";"Tartarugalzinho (AP)";"Total";"Total";"1";"Total";"327"
"1600808";"Vitória do Jari (AP)";"Total";"Total";"1";"Total";"264"
"1700251";"Abreulândia (TO)";"Total";"Total";"1";"Total";"388"
"1700301";"Aguiarnópolis (TO)";"Total";"Total";"1";"Total";"169"
"1700350";"Aliança do Tocantins (TO)";"Total";"Total";"1";"Total";"330"
"1700400";"Almas (TO)";"Total";"Total";"1";"Total";"353"
"1700707";"Alvorada (TO)";"Total";"Total";"1";"Total";"163"
"1701002";"Ananás (TO)";"Total";"Total";"1";"Total";"374"
"1701051";"Angico (TO)";"Total";"Total";"1";"Total";"158"
"1701101";"Aparecida do Rio Negro (TO)";"Total";"Total";"1";"Total";"278"
"1701309";"Aragominas (TO)";"Total";"Total";"1";"Total";"670"
"1701903";"Araguacema (TO)";"Total";"Total";"1";"Total";"959"
"1702000";"Araguaçu (TO)";"Total";"Total";"1";"Total";"946"
"1702109";"Araguaína (TO)";"Total";"Total";"1";"Total";"1055"
"1702158";"Araguanã (TO)";"Total";"Total";"1";"Total";"145"
"1702208";"Araguatins (TO)";"Total";"Total";"1";"Total";"2114"
"1702307";"Arapoema (TO)";"Total";"Total";"1";"Total";"246"
"1702406";"Arraias (TO)";"Total";"Total";"1";"Total";"866"
"1702554";"Augustinópolis (TO)";"Total";"Total";"1";"Total";"421"
"1702703";"Aurora do Tocantins (TO)";"Total";"Total";"1";"Total";"204"
"1702901";"Axixá do Tocantins (TO)";"Total";"Total";"1";"Total";"152"
"1703008";"Babaçulândia (TO)";"Total";"Total";"1";"Total";"1030"
"1703057";"Bandeirantes do Tocantins (TO)";"Total";"Total";"1";"Total";"212"
"1703073";"Barra do Ouro (TO)";"Total";"Total";"1";"Total";"252"
"1703107";"Barrolândia (TO)";"Total";"Total";"1";"Total";"240"
"1703206";"Bernardo Sayão (TO)";"Total";"Total";"1";"Total";"577"
"1703305";"Bom Jesus do Tocantins (TO)";"Total";"Total";"1";"Total";"243"
"1703602";"Brasilândia do Tocantins (TO)";"Total";"Total";"1";"Total";"137"
"1703701";"Brejinho de Nazaré (TO)";"Total";"Total";"1";"Total";"423"
"1703800";"Buriti do Tocantins (TO)";"Total";"Total";"1";"Total";"214"
"1703826";"Cachoeirinha (TO)";"Total";"Total";"1";"Total";"201"
"1703842";"Campos Lindos (TO)";"Total";"Total";"1";"Total";"655"
"1703867";"Cariri do Tocantins (TO)";"Total";"Total";"1";"Total";"376"
"1703883";"Carmolândia (TO)";"Total";"Total";"1";"Total";"94"
"1703891";"Carrasco Bonito (TO)";"Total";"Total";"1";"Total";"185"
"1703909";"Caseara (TO)";"Total";"Total";"1";"Total";"461"
